Date,Samsung,Apple,Huawei
2017-01,33.71,19.73,3.78
2017-02,33.11,19.45,3.95
2017-03,33.16,19.5,3.95
2017-04,33.02,19.87,4.15
2017-05,33.17,19.32,4.37
2017-06,33.1,19.35,4.48
2017-07,33.4,18.78,4.56
2017-08,33.12,20.32,4.7
2017-09,33.71,19.37,4.85
2017-10,32.63,19.99,5.06
2017-11,31.88,20.34,5.06
2017-12,31.65,19.91,4.96
2018-01,31.81,19.64,5.26
2018-02,31.94,20.15,5.46
2018-03,31.14,20.83,5.82
2018-04,30.76,19.23,6.21
2018-05,30.15,18.97,6.58
2018-06,30.66,18.91,7.01
2018-07,30.7,19.4,7.15
2018-08,30.9,20.45,7.1
2018-09,30.8,20.66,7.57
2018-10,30.07,22.34,7.37
2018-11,28.34,24.44,6.31
2018-12,30.91,21.98,7.52
2019-01,32.16,22.85,7.87
2019-02,31.52,23.28,8.12
2019-03,31.77,22.4,8.57
2019-04,32.16,22.76,8.72
2019-05,31.55,22.66,8.97
2019-06,31.98,22.04,9.04
2019-07,31.13,22.01,9.15
2019-08,31.47,22.17,9.02
2019-09,31.18,22.48,10.02
